Date,Open,High,Low,Close,Adj Close,Volume
2021-03-26,1.000756,1.002213,0.999345,1.001004,1.001004,3351756564
2021-03-27,1.000883,1.001916,0.999846,1.000474,1.000474,2945334867
2021-03-28,1.000602,1.002754,1.000075,1.001017,1.001017,2559940764
2021-03-29,1.000954,1.001096,0.999216,0.999985,0.999985,3135519781
2021-03-30,0.999992,1.000938,0.999339,1.000521,1.000521,3361845411
2021-03-31,1.000600,1.002053,0.999136,0.999592,0.999592,3945694093
2021-04-01,0.999661,1.001492,0.999534,1.001025,1.001025,3588559550
2021-04-02,1.000847,1.002311,0.999189,1.000484,1.000484,3774515539
2021-04-03,1.000410,1.003281,0.998060,1.003117,1.003117,3420729529
2021-04-04,1.003030,1.011185,1.001168,1.003338,1.003338,2849133540
2021-04-05,1.003432,1.004728,0.999759,1.000096,1.000096,4181331044
2021-04-06,1.000227,1.002211,0.999350,1.001764,1.001764,4797513156
2021-04-07,1.001863,1.003028,1.000947,1.002383,1.002383,6256873431
2021-04-08,1.002294,1.002564,1.000187,1.000302,1.000302,4555178182
2021-04-09,1.000302,1.001912,1.000274,1.001704,1.001704,4245963330
2021-04-10,1.001689,1.002539,0.998168,1.000771,1.000771,5696259791
2021-04-11,1.000872,1.003487,0.999528,1.003000,1.003000,4657233454
2021-04-12,1.002884,1.002938,0.999876,1.000488,1.000488,6781354071
2021-04-13,1.000436,1.001330,0.999099,0.999099,0.999099,7773117246
2021-04-14,0.999101,1.002772,0.998851,1.001572,1.001572,8069263416
2021-04-15,1.001622,1.003248,0.999749,1.000398,1.000398,6612123049
2021-04-16,1.000127,1.002745,0.999236,1.001119,1.001119,11217609808
2021-04-17,1.001099,1.010834,0.998597,1.010413,1.010413,6905619164
2021-04-18,1.010708,1.026673,0.999800,1.000051,1.000051,9846263412
2021-04-19,0.999907,1.000199,0.999800,1.000088,1.000088,7509179326
2021-04-20,1.000020,1.000198,0.999800,1.000099,1.000099,8141972355
2021-04-21,1.000163,1.000199,0.999800,1.000093,1.000093,6822678754
2021-04-22,0.999924,1.000200,0.999800,0.999995,0.999995,9854348656
2021-04-23,1.000147,1.000200,0.999800,1.000004,1.000004,10624521474
2021-04-24,1.000107,1.000200,0.999801,0.999845,0.999845,4863225219
2021-04-25,0.999802,1.000200,0.999800,1.000191,1.000191,3944841229
2021-04-26,0.999946,1.000200,0.999801,0.999835,0.999835,6265219795
2021-04-27,0.999920,1.000200,0.999800,1.000114,1.000114,5163377021
2021-04-28,1.000089,1.000200,0.999800,1.000032,1.000032,6364375147
2021-04-29,1.000107,1.000199,0.999800,0.999828,0.999828,8328494724
2021-04-30,1.000010,1.000200,0.999800,0.999809,0.999809,6942297176
2021-05-01,1.000148,1.000200,0.999800,1.000078,1.000078,5856041239
2021-05-02,0.999930,1.000200,0.999800,1.000156,1.000156,5554351349
2021-05-03,0.999969,1.000200,0.999801,1.000184,1.000184,7073629222
2021-05-04,0.999915,1.000200,0.999800,1.000198,1.000198,10646936350
2021-05-05,0.999953,1.000200,0.999800,0.999833,0.999833,9194410295
2021-05-06,0.999994,1.000200,0.999800,0.999853,0.999853,9366883067
2021-05-07,0.999825,1.000200,0.999800,1.000151,1.000151,8921639113
2021-05-08,0.999977,1.000200,0.999800,1.000063,1.000063,8222638380
2021-05-09,1.000027,1.000200,0.999800,1.000132,1.000132,10136124041
2021-05-10,0.999864,1.000199,0.999800,0.999801,0.999801,10586296412
2021-05-11,1.000182,1.000200,0.999800,0.999855,0.999855,8965873677
2021-05-12,0.999848,1.000200,0.999800,0.999955,0.999955,9441833345
2021-05-13,0.999841,1.000200,0.999800,1.000100,1.000100,13831041916
2021-05-14,1.000038,1.000200,0.999800,0.999959,0.999959,8859316372
2021-05-15,1.000099,1.000200,0.999800,1.000031,1.000031,7761285527
2021-05-16,1.000140,1.000200,0.999800,1.000175,1.000175,8692146083
2021-05-17,1.000087,1.000200,0.999800,1.000152,1.000152,9624218363
2021-05-18,1.000064,1.001186,0.999248,0.999925,0.999925,7825910912
2021-05-19,0.999982,1.000811,0.998011,0.999839,0.999839,17767872416
2021-05-20,0.999722,1.000854,0.999329,0.999802,0.999802,13673190471
2021-05-21,0.999752,1.000991,0.999288,1.000176,1.000176,11081637428
2021-05-22,1.000165,1.000865,0.999760,1.000763,1.000763,8164950461
2021-05-23,1.000656,1.001162,0.999832,1.000119,1.000119,10714060815
2021-05-24,1.000183,1.000721,0.999682,1.000252,1.000252,10018766664
2021-05-25,1.000377,1.000733,0.999536,1.000010,1.000010,8153971160
2021-05-26,1.000077,1.000942,0.999693,1.000460,1.000460,7284582933
2021-05-27,1.000503,1.000936,0.999806,1.000003,1.000003,6052252069
2021-05-28,1.000100,1.000753,0.999684,1.000292,1.000292,6902926612
2021-05-29,1.000182,1.000918,0.999646,0.999696,0.999696,5389862610
2021-05-30,0.999700,1.000208,0.999123,0.999460,0.999460,4800360897
2021-05-31,0.999553,1.000784,0.999320,1.000104,1.000104,5877086335
2021-06-01,1.000145,1.000982,0.999804,1.000303,1.000303,6202049643
2021-06-02,1.000313,1.000955,0.999965,1.000353,1.000353,6082620996
2021-06-03,1.000554,1.000897,1.000005,1.000321,1.000321,5966175756
2021-06-04,1.000486,1.001098,0.999890,1.000801,1.000801,6536201128
2021-06-05,1.000686,1.001348,0.999802,1.000210,1.000210,4848995278
2021-06-06,1.000016,1.000823,0.999809,1.000599,1.000599,3062109286
2021-06-07,1.000602,1.000745,0.999561,1.000367,1.000367,4730114246
2021-06-08,1.000420,1.000911,0.999880,1.000536,1.000536,6433762611
2021-06-09,1.000524,1.000874,0.999570,0.999978,0.999978,5908042166
2021-06-10,1.000003,1.000753,0.999690,1.000501,1.000501,4707385419
2021-06-11,1.000383,1.000807,0.999493,1.000398,1.000398,3875898057
2021-06-12,1.000543,1.001170,0.999874,1.001104,1.001104,3743015625
2021-06-13,1.001102,1.001307,0.999444,0.999480,0.999480,3725602026
2021-06-14,0.999540,1.000672,0.999402,1.000000,1.000000,3969604950
2021-06-15,1.000071,1.010296,0.999745,1.000214,1.000214,4364810062
2021-06-16,1.000342,1.000889,0.999448,1.000343,1.000343,3731212018
2021-06-17,1.000256,1.000887,0.999763,1.000779,1.000779,3313331305
2021-06-18,1.000781,1.001632,0.999753,1.001289,1.001289,3839125679
2021-06-19,1.001402,1.001713,0.999982,1.001425,1.001425,2943437562
2021-06-20,1.001305,1.001522,1.000475,1.001028,1.001028,4051566709
2021-06-21,1.000989,1.001876,1.000214,1.000393,1.000393,6718189284
2021-06-22,1.000298,1.001408,1.000038,1.000730,1.000730,7587837603
2021-06-23,1.000792,1.000902,1.000211,1.000477,1.000477,6002396695
2021-06-24,1.000645,1.000994,0.999949,1.000168,1.000168,3567330381
2021-06-25,1.000351,1.000898,0.999193,1.000022,1.000022,4284407270
2021-06-26,0.999963,1.001417,0.999764,1.001417,1.001417,4239307997
2021-06-27,1.001252,1.001940,1.000391,1.000514,1.000514,3436768803
2021-06-28,1.000466,1.000735,0.999677,0.999945,0.999945,4279241621
