"DateTime","Inflow","Price"
"2022-03-28 00:00:00",3856052.05,3405.3
"2022-04-04 00:00:00",2258096.09,3309.25
"2022-04-11 00:00:00",3359371.77,3047.65
"2022-04-18 00:00:00",2996866.72,3013.34
"2022-04-25 00:00:00",3447928.24,2859.13
"2022-05-02 00:00:00",3622858.85,2747.97
"2022-05-09 00:00:00",8729755.75,2143.8
"2022-05-16 00:00:00",3617901.16,2008.9
"2022-05-23 00:00:00",3437323.08,1874.6
"2022-05-30 00:00:00",2708336.16,1847.52
"2022-06-06 00:00:00",4910158.92,1724.18
"2022-06-13 00:00:00",10069650.12,1125.7
"2022-06-20 00:00:00",3996314.07,1154.83
"2022-06-27 00:00:00",3943215.83,1107.01
"2022-07-04 00:00:00",3381198.63,1175.41
"2022-07-11 00:00:00",4204021.3,1182.87
"2022-07-18 00:00:00",5546700.61,1549.01
"2022-07-25 00:00:00",3772272.98,1611.94
"2022-08-01 00:00:00",3036799.1,1660.77
"2022-08-08 00:00:00",3037023.96,1859.4
"2022-08-15 00:00:00",4243787.33,1783.61
"2022-08-22 00:00:00",3365893.94,1583.2
"2022-08-29 00:00:00",5220132.36,1553.96
"2022-09-05 00:00:00",4593783.2,1658.55
"2022-09-12 00:00:00",9002896.29,1548.89
"2022-09-19 00:00:00",3971679.28,1318.41
"2022-09-26 00:00:00",2682956.5,1321.02
"2022-10-03 00:00:00",1908441.76,1332.41
"2022-10-10 00:00:00",2220899.7,1289.91
"2022-10-17 00:00:00",1553072.02,1306.13
"2022-10-24 00:00:00",2933739.28,1512.77
"2022-10-31 00:00:00",2146571.81,1589.07
"2022-11-07 00:00:00",7635690.76,1310.44
"2022-11-14 00:00:00",3752814,1218.3
"2022-11-21 00:00:00",3394006.3,1169.06
"2022-11-28 00:00:00",2465647.85,1246.51
"2022-12-05 00:00:00",2741798.8,1265.21
"2022-12-12 00:00:00",2647208.47,1250.4
"2022-12-19 00:00:00",1892522.61,1205.97
"2022-12-26 00:00:00",1423936.23,1203.13
"2023-01-02 00:00:00",1587966.72,1243.84
"2023-01-09 00:00:00",2805960.53,1414.99
"2023-01-16 00:00:00",2923036.61,1588.18
"2023-01-23 00:00:00",2627378.62,1596.64
"2023-01-30 00:00:00",3125768.67,1630.77
"2023-02-06 00:00:00",2702383.79,1586.68
"2023-02-13 00:00:00",2900013.27,1627.74
"2023-02-20 00:00:00",2672254.61,1639.1
"2023-02-27 00:00:00",2276112.3,1610.83
"2023-03-06 00:00:00",4444904.42,1506.87
"2023-03-13 00:00:00",4421735.03,1718.79
"2023-03-20 00:00:00",3500620.27,1771.64
"2023-03-27 00:00:00",1918749.25,1788.71
"2023-04-03 00:00:00",2366569.18,1858.78
"2023-04-10 00:00:00",2473991.67,1944.17
