"Date(UTC)","UnixTimeStamp","No. of ERC20 Token Transfers"
"2019-08-15","1565827200","396836"
"2019-08-16","1565913600","431346"
"2019-08-17","1566000000","388555"
"2019-08-18","1566086400","376579"
"2019-08-19","1566172800","432247"
"2019-08-20","1566259200","437246"
"2019-08-21","1566345600","461021"
"2019-08-22","1566432000","447824"
"2019-08-23","1566518400","448374"
"2019-08-24","1566604800","410952"
"2019-08-25","1566691200","429949"
"2019-08-26","1566777600","446151"
"2019-08-27","1566864000","470872"
"2019-08-28","1566950400","431219"
"2019-08-29","1567036800","435426"
"2019-08-30","1567123200","450518"
"2019-08-31","1567209600","422366"
"2019-09-01","1567296000","435149"
"2019-09-02","1567382400","459161"
"2019-09-03","1567468800","456546"
"2019-09-04","1567555200","459338"
"2019-09-05","1567641600","472840"
"2019-09-06","1567728000","464042"
"2019-09-07","1567814400","415984"
"2019-09-08","1567900800","423009"
"2019-09-09","1567987200","473428"
"2019-09-10","1568073600","416121"
"2019-09-11","1568160000","415999"
"2019-09-12","1568246400","443881"
"2019-09-13","1568332800","379468"
"2019-09-14","1568419200","384653"
"2019-09-15","1568505600","368022"
"2019-09-16","1568592000","431494"
"2019-09-17","1568678400","408000"
"2019-09-18","1568764800","407914"
"2019-09-19","1568851200","411236"
"2019-09-20","1568937600","424953"
"2019-09-21","1569024000","335591"
"2019-09-22","1569110400","331726"
"2019-09-23","1569196800","387685"
"2019-09-24","1569283200","415267"
"2019-09-25","1569369600","387690"
"2019-09-26","1569456000","375216"
"2019-09-27","1569542400","382874"
"2019-09-28","1569628800","358931"
"2019-09-29","1569715200","337290"
"2019-09-30","1569801600","395222"
"2019-10-01","1569888000","450722"
"2019-10-02","1569974400","521071"
"2019-10-03","1570060800","527876"
"2019-10-04","1570147200","542328"
"2019-10-05","1570233600","362531"
"2019-10-06","1570320000","554835"
"2019-10-07","1570406400","437015"
"2019-10-08","1570492800","464679"
"2019-10-09","1570579200","502235"
"2019-10-10","1570665600","449708"
"2019-10-11","1570752000","460189"
"2019-10-12","1570838400","430362"
"2019-10-13","1570924800","359455"
"2019-10-14","1571011200","453676"
"2019-10-15","1571097600","444098"
"2019-10-16","1571184000","470877"
"2019-10-17","1571270400","467584"
"2019-10-18","1571356800","478931"
"2019-10-19","1571443200","415711"
"2019-10-20","1571529600","405234"
"2019-10-21","1571616000","460519"
"2019-10-22","1571702400","493948"
"2019-10-23","1571788800","500347"
"2019-10-24","1571875200","485860"
"2019-10-25","1571961600","463776"
"2019-10-26","1572048000","450061"
"2019-10-27","1572134400","421348"
"2019-10-28","1572220800","464255"
"2019-10-29","1572307200","443396"
"2019-10-30","1572393600","471237"
"2019-10-31","1572480000","513774"
"2019-11-01","1572566400","470965"
"2019-11-02","1572652800","360540"
"2019-11-03","1572739200","356653"
"2019-11-04","1572825600","425304"
"2019-11-05","1572912000","450284"
"2019-11-06","1572998400","445169"
"2019-11-07","1573084800","506911"
"2019-11-08","1573171200","431770"
"2019-11-09","1573257600","358884"
"2019-11-10","1573344000","375401"
"2019-11-11","1573430400","463906"
"2019-11-12","1573516800","439524"
"2019-11-13","1573603200","461155"
"2019-11-14","1573689600","449427"
"2019-11-15","1573776000","455743"
"2019-11-16","1573862400","379056"
"2019-11-17","1573948800","380209"
"2019-11-18","1574035200","477720"
"2019-11-19","1574121600","496384"
"2019-11-20","1574208000","442749"
"2019-11-21","1574294400","502016"
"2019-11-22","1574380800","485853"
"2019-11-23","1574467200","397958"
"2019-11-24","1574553600","393177"
"2019-11-25","1574640000","482402"
"2019-11-26","1574726400","443883"
"2019-11-27","1574812800","587688"
"2019-11-28","1574899200","731422"
"2019-11-29","1574985600","489936"
"2019-11-30","1575072000","501153"
"2019-12-01","1575158400","505746"
"2019-12-02","1575244800","524586"
"2019-12-03","1575331200","502134"
"2019-12-04","1575417600","539671"
"2019-12-05","1575504000","464502"
"2019-12-06","1575590400","383231"
"2019-12-07","1575676800","356588"
"2019-12-08","1575763200","499871"
"2019-12-09","1575849600","520702"
"2019-12-10","1575936000","518485"
"2019-12-11","1576022400","417819"
"2019-12-12","1576108800","437543"
"2019-12-13","1576195200","410534"
"2019-12-14","1576281600","366696"
"2019-12-15","1576368000","352143"
"2019-12-16","1576454400","419466"
"2019-12-17","1576540800","416001"
"2019-12-18","1576627200","433571"
"2019-12-19","1576713600","406347"
"2019-12-20","1576800000","396702"
"2019-12-21","1576886400","340489"
"2019-12-22","1576972800","343938"
"2019-12-23","1577059200","408214"
"2019-12-24","1577145600","395148"
"2019-12-25","1577232000","368050"
"2019-12-26","1577318400","371615"
"2019-12-27","1577404800","387324"
"2019-12-28","1577491200","316871"
"2019-12-29","1577577600","291725"
"2019-12-30","1577664000","372473"
"2019-12-31","1577750400","354158"
"2020-01-01","1577836800","313994"
"2020-01-02","1577923200","323634"
"2020-01-03","1578009600","389155"
"2020-01-04","1578096000","385273"
"2020-01-05","1578182400","363602"
"2020-01-06","1578268800","395584"
"2020-01-07","1578355200","416792"
"2020-01-08","1578441600","493641"
"2020-01-09","1578528000","380016"
"2020-01-10","1578614400","402082"
"2020-01-11","1578700800","334388"
"2020-01-12","1578787200","299541"
"2020-01-13","1578873600","542722"
"2020-01-14","1578960000","438113"
"2020-01-15","1579046400","428269"
"2020-01-16","1579132800","440047"
"2020-01-17","1579219200","421765"
"2020-01-18","1579305600","463615"
"2020-01-19","1579392000","394379"
"2020-01-20","1579478400","373950"
"2020-01-21","1579564800","350193"
"2020-01-22","1579651200","336909"
"2020-01-23","1579737600","349849"
"2020-01-24","1579824000","367422"
"2020-01-25","1579910400","297599"
"2020-01-26","1579996800","278438"
"2020-01-27","1580083200","327636"
"2020-01-28","1580169600","353829"
"2020-01-29","1580256000","348115"
"2020-01-30","1580342400","392940"
"2020-01-31","1580428800","444595"
"2020-02-01","1580515200","364269"
"2020-02-02","1580601600","341383"
"2020-02-03","1580688000","379943"
"2020-02-04","1580774400","314394"
"2020-02-05","1580860800","348390"
"2020-02-06","1580947200","350457"
"2020-02-07","1581033600","372901"
"2020-02-08","1581120000","425339"
"2020-02-09","1581206400","406996"
"2020-02-10","1581292800","473775"
"2020-02-11","1581379200","422894"
"2020-02-12","1581465600","518402"
"2020-02-13","1581552000","556180"
"2020-02-14","1581638400","600124"
"2020-02-15","1581724800","435203"
"2020-02-16","1581811200","394560"
"2020-02-17","1581897600","450066"
"2020-02-18","1581984000","443449"
"2020-02-19","1582070400","424145"
"2020-02-20","1582156800","426777"
"2020-02-21","1582243200","430391"
"2020-02-22","1582329600","369824"
"2020-02-23","1582416000","316394"
"2020-02-24","1582502400","394549"
