"DateTime","Number of Transactions","Price"
"2020-03-16 00:00:00",781484.43,123.95
"2020-03-23 00:00:00",718768,133.6
"2020-03-30 00:00:00",673293.57,138.2
"2020-04-06 00:00:00",726624.29,163.64
"2020-04-13 00:00:00",761052.43,166.82
"2020-04-20 00:00:00",795293.71,183.91
"2020-04-27 00:00:00",815973.29,207.03
"2020-05-04 00:00:00",822092.57,205.72
"2020-05-11 00:00:00",835562.29,195.93
"2020-05-18 00:00:00",840794.29,207.55
"2020-05-25 00:00:00",879647.43,215.96
"2020-06-01 00:00:00",916369.57,240.99
"2020-06-08 00:00:00",877665.43,239.47
"2020-06-15 00:00:00",908729.43,229.81
"2020-06-22 00:00:00",1023850.29,232.59
"2020-06-29 00:00:00",989132.86,226.89
"2020-07-06 00:00:00",1015356,239.87
"2020-07-13 00:00:00",1065701.14,236.98
"2020-07-20 00:00:00",1112546.43,269.55
"2020-07-27 00:00:00",1153411.14,339.15
"2020-08-03 00:00:00",1158037.57,389.87
"2020-08-10 00:00:00",1155131.29,407.22
"2020-08-17 00:00:00",1140835.57,408.75
"2020-08-24 00:00:00",1093526.71,394.45
"2020-08-31 00:00:00",1084863,403.65
"2020-09-07 00:00:00",1016757.29,357.93
"2020-09-14 00:00:00",1094061.29,375.53
"2020-09-21 00:00:00",1008717.86,344.99
"2020-09-28 00:00:00",985415.43,353.07
"2020-10-05 00:00:00",993265,354.8
"2020-10-12 00:00:00",1068869.43,375.59
"2020-10-19 00:00:00",1059499.29,396.71
"2020-10-26 00:00:00",1048759,391.66
"2020-11-02 00:00:00",1085697.29,414.89
"2020-11-09 00:00:00",1072161.57,457.65
"2020-11-16 00:00:00",1105293,495.88
"2020-11-23 00:00:00",1098607.57,560.61
"2020-11-30 00:00:00",1067442.71,597.01
"2020-12-07 00:00:00",1075857.29,567.11
"2020-12-14 00:00:00",1170805.14,625.68
"2020-12-21 00:00:00",1118860.43,620.5
"2020-12-28 00:00:00",1159371.43,754.61
"2021-01-04 00:00:00",1229848.29,1158.17
"2021-01-11 00:00:00",1153147.57,1142.29
"2021-01-18 00:00:00",1148150.86,1261.97
"2021-01-25 00:00:00",1175139.86,1334.89
"2021-02-01 00:00:00",1246661,1566.77
"2021-02-08 00:00:00",1235561,1772.33
"2021-02-15 00:00:00",1229756,1859.1
"2021-02-22 00:00:00",1209376.57,1539.55
"2021-03-01 00:00:00",1162570.43,1561.19
"2021-03-08 00:00:00",1230070,1814.04
"2021-03-15 00:00:00",1229637.29,1797.37
"2021-03-22 00:00:00",1230086.57,1669.35
"2021-03-29 00:00:00",1252692.14,1933.08
"2021-04-05 00:00:00",1252929.86,2078.92
"2021-04-12 00:00:00",1319132.14,2315.08
"2021-04-19 00:00:00",1442053.86,2286.5
"2021-04-26 00:00:00",1409210.86,2706.4
"2021-05-03 00:00:00",1514597.71,3496.5
"2021-05-10 00:00:00",1505886,3892.46
"2021-05-17 00:00:00",1332911.29,2705.26
"2021-05-24 00:00:00",1250685.43,2537.87
"2021-05-31 00:00:00",1214825.71,2665.65
"2021-06-07 00:00:00",1140405.57,2488.06
"2021-06-14 00:00:00",1124140.71,2368.97
"2021-06-21 00:00:00",1167883,1914.3
"2021-06-28 00:00:00",1181567.86,2161.63
"2021-07-05 00:00:00",1174301.71,2206.87
"2021-07-12 00:00:00",1137769.57,1957.52
"2021-07-19 00:00:00",1136975,1986.37
"2021-07-26 00:00:00",1211292.29,2379.74
"2021-08-02 00:00:00",1172221.86,2765.26
"2021-08-09 00:00:00",1145541.71,3166.6
"2021-08-16 00:00:00",1188846.29,3171.15
"2021-08-23 00:00:00",1132073,3217.66
"2021-08-30 00:00:00",1153711.14,3665.51
"2021-09-06 00:00:00",1182670.86,3472.92
"2021-09-13 00:00:00",1160268.86,3428.34
"2021-09-20 00:00:00",1112989.29,2973.94
"2021-09-27 00:00:00",1090811.86,3095.76
"2021-10-04 00:00:00",1193360.86,3502.48
"2021-10-11 00:00:00",1157074,3669.42
"2021-10-18 00:00:00",1207301.29,3992.88
"2021-10-25 00:00:00",1335531,4220.48
"2021-11-01 00:00:00",1299764.86,4472.55
"2021-11-08 00:00:00",1286802.57,4680.69
"2021-11-15 00:00:00",1236279,4306.23
"2021-11-22 00:00:00",1211771.71,4222.02
"2021-11-29 00:00:00",1231611.86,4372.12
"2021-12-06 00:00:00",1205937.14,4176.31
"2021-12-13 00:00:00",1169404.86,3899.02
"2021-12-20 00:00:00",1204661.86,4015.24
"2021-12-27 00:00:00",1187259.57,3800.7
"2022-01-03 00:00:00",1160949.86,3448.26
"2022-01-10 00:00:00",1193872.86,3252.69
"2022-01-17 00:00:00",1140790.71,2905.45
"2022-01-24 00:00:00",1106562.43,2484.93
"2022-01-31 00:00:00",1132360.86,2795.19
"2022-02-07 00:00:00",1129772.14,3056
"2022-02-14 00:00:00",1165957.71,2909.46
"2022-02-21 00:00:00",1108181.57,2660.21
"2022-02-28 00:00:00",1107177,2788.6
"2022-03-07 00:00:00",1121812.14,2593.6
"2022-03-14 00:00:00",1141324.57,2764.11
"2022-03-21 00:00:00",1122792.71,3055.34
"2022-03-28 00:00:00",1116461,3405.3
"2022-04-04 00:00:00",1063343.86,3309.25
"2022-04-11 00:00:00",1050005,3047.65
"2022-04-18 00:00:00",1096149.71,3013.34
"2022-04-25 00:00:00",1123410.43,2859.13
"2022-05-02 00:00:00",1072012.43,2747.97
"2022-05-09 00:00:00",1178370.57,2143.8
"2022-05-16 00:00:00",1074740.57,2008.9
"2022-05-23 00:00:00",1033668,1874.6
"2022-05-30 00:00:00",1011378.29,1847.52
"2022-06-06 00:00:00",992984.29,1724.18
"2022-06-13 00:00:00",1046329.71,1125.7
"2022-06-20 00:00:00",943301.57,1154.83
"2022-06-27 00:00:00",1034651.29,1107.01
"2022-07-04 00:00:00",1120221.43,1175.41
"2022-07-11 00:00:00",1141628.14,1182.87
"2022-07-18 00:00:00",1137747.86,1549.01
"2022-07-25 00:00:00",1225197,1611.94
"2022-08-01 00:00:00",1212335.29,1660.77
"2022-08-08 00:00:00",1082084.71,1859.4
"2022-08-15 00:00:00",1048699.43,1783.61
"2022-08-22 00:00:00",1016208.14,1583.2
"2022-08-29 00:00:00",1027186.71,1553.96
"2022-09-05 00:00:00",1020329.29,1658.55
"2022-09-12 00:00:00",1143932.71,1548.89
"2022-09-19 00:00:00",1073329.29,1318.41
"2022-09-26 00:00:00",1117494.71,1321.02
"2022-10-03 00:00:00",1139021.71,1332.41
"2022-10-10 00:00:00",1041169,1289.91
"2022-10-17 00:00:00",1018538.29,1306.13
"2022-10-24 00:00:00",1023049.57,1512.77
"2022-10-31 00:00:00",990571.43,1589.07
"2022-11-07 00:00:00",1097171,1310.44
"2022-11-14 00:00:00",1025601.57,1218.3
"2022-11-21 00:00:00",934564,1169.06
"2022-11-28 00:00:00",988749.71,1246.51
"2022-12-05 00:00:00",1122948.29,1265.21
"2022-12-12 00:00:00",1056635,1250.4
